NUEVA NUM,REGION PARA SICEBV,Vista,NUM EN ESQUEMA,CÓDIGO DE COLOR
6,CARA EXTERNA DEL BRAZO,ANVERSO / REVERSO,"20, 21",FFE27B
10,CARA INTERNA DEL BRAZO,ANVERSO / REVERSO,"21, 22",B6D554
5,CARA EXTERNA DEL ANTEBRAZO,ANVERSO / REVERSO,"24, 28",FEEFF0
9,CARA INTERNA DEL ANTEBRAZO,ANVERSO / REVERSO,"25, 29",71CFF0
7,CARA EXTERNA DEL MUSLO,ANVERSO / REVERSO,"45, 33",EBF5E5
11,CARA INTERNA DEL MUSLO,ANVERSO / REVERSO,"46, 34",D9E79B
39,REGION POSTERIOR DEL CUELLO,REVERSO,"5, 6",76C9B2
4,CARA EXTERNA DE LA PIERNA,ANVERSO / REVERSO,"50, 37",FCE2E3
8,CARA INTERNA DE LA PIERNA,ANVERSO / REVERSO,"51, 38",F9B8B5
20.4,DEDO DE LA MANO ANULAR,ANVERSO / REVERSO,MANO DEDO ANULAR,FAC6BD
20.2,DEDO DE LA MANO INDICE,ANVERSO / REVERSO,MANO DEDO INDICE,F5A468
20.3,DEDO DE LA  MANO MEDIO,ANVERSO / REVERSO,MANO DEDO MEDIO,FEF6F5
20.5,DEDO DE LA MANO MENIQUE,ANVERSO / REVERSO,MANO DEDO MENIQUE,F8AA9F
20.1,DEDO DE LA MANO PULGAR,ANVERSO / REVERSO,MANO DEDO PULGAR,FEF7CD
21.4,DEDO DEL PIE ANULAR,ANVERSO / REVERSO,PIE DEDO ANULAR,F27698
21.2,DEDO DEL PIE INDICE,ANVERSO / REVERSO,PIE DEDO INDICE,E7CCE2
21.3,DEDO DEL PIE MEDIO,ANVERSO / REVERSO,PIE DEDO MEDIO,F8C2D9
21.5,DEDO DEL PIE MENIQUE,ANVERSO / REVERSO,PIE DEDO MENIQUE,F2E0ED
21.1,DEDO DEL PIE PULGAR,ANVERSO / REVERSO,PIE DEDO PULGAR,FDEAEF
99,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA,
